dataset,method,model,split,config,alpha,noise_rate,erasure_rate,runs,attained_runs,N_clean_mean,N_attack_mean,compensation_ratio_mean,compensation_ratio_std
alfworld,rank,deepseek,ID,top2,0.01,0.5,0.5,3,0,13.333333333333334,,,
alfworld,rank,deepseek,ID,top2,0.01,0.5,0.7,3,0,13.333333333333334,,,
alfworld,rank,deepseek,ID,top3,0.01,0.0,0.0,3,3,16.666666666666668,16.666666666666668,1.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.0,0.1,3,3,16.666666666666668,20,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top3,0.01,0.0,0.2,3,3,16.666666666666668,16.666666666666668,1.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.0,0.3,3,3,16.666666666666668,16.666666666666668,1.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.0,0.5,3,3,16.666666666666668,20,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top3,0.01,0.0,0.7,3,3,16.666666666666668,36.666666666666664,2.6666666666666665,2.0207259421636903
alfworld,rank,deepseek,ID,top3,0.01,0.05,0.0,3,3,16.666666666666668,16.666666666666668,1.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.05,0.1,3,3,16.666666666666668,20,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top3,0.01,0.05,0.2,3,3,16.666666666666668,16.666666666666668,1.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.05,0.3,3,3,16.666666666666668,23.333333333333332,1.5,0.5
alfworld,rank,deepseek,ID,top3,0.01,0.05,0.5,3,3,16.666666666666668,26.666666666666668,1.6666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top3,0.01,0.05,0.7,3,3,16.666666666666668,33.333333333333336,2.1666666666666665,1.0408329997330663
alfworld,rank,deepseek,ID,top3,0.01,0.1,0.0,3,3,16.666666666666668,20,1.3333333333333333,0.5773502691896257
