dataset,method,model,split,topk,trajectories,decoded_len_mean,decoded_len_std,bit_match_rate_mean,bit_match_rate_std,payload_recovery_rate,c_nom_proxy_bits,c_eff_proxy_bits,runs
toolbench,rank,gemini-flash,G1_tool,4,60,1.0667,1.9818,0.428376,0.475328,0.0,1.0667,0.0,3
toolbench,rank,gemini-flash,G1_tool,6,60,1.0667,1.9818,0.455214,0.49347,0.0,1.0667,0.0,3
toolbench,rank,gemini-flash,G1_tool,8,60,1.0833,2.0854,0.456587,0.486049,0.016667,1.0833,0.018055,3
toolbench,rank,gemini-flash,G1_tool,10,60,1.0833,2.0854,0.477778,0.499969,0.016667,1.0833,0.018055,3
toolbench,rank,gemini-flash,G1_tool,20,60,1.0833,2.0854,0.5,0.504219,0.016667,1.0833,0.018055,3
toolbench,rank,gemini-flash,G2_category,2,60,0.9167,1.5976,0.24375,0.407947,0.0,0.9167,0.0,3
toolbench,rank,gemini-flash,G2_category,4,60,1.25,2.4607,0.377491,0.462748,0.016667,1.25,0.020834,3
toolbench,rank,gemini-flash,G2_category,6,60,1.25,2.4607,0.405662,0.478438,0.0,1.25,0.0,3
toolbench,rank,gemini-flash,G2_category,8,60,1.2833,2.5451,0.420278,0.487973,0.033333,1.2833,0.042776,3
toolbench,rank,gemini-flash,G2_category,10,60,1.2833,2.5451,0.433333,0.499717,0.033333,1.2833,0.042776,3
toolbench,rank,gemini-flash,G2_category,20,60,1.2833,2.5451,0.433333,0.499717,0.033333,1.2833,0.042776,3
toolbench,rank,gemini-flash,G2_instruction,2,60,0.7667,0.9088,0.447222,0.489525,0.0,0.7667,0.0,3
toolbench,rank,gemini-flash,G2_instruction,4,60,0.9833,1.2554,0.446032,0.475824,0.0,0.9833,0.0,3
toolbench,rank,gemini-flash,G2_instruction,6,60,0.9833,1.2554,0.532341,0.485468,0.0,0.9833,0.0,3
toolbench,rank,gemini-flash,G2_instruction,8,60,1.0333,1.3774,0.560417,0.495473,0.0,1.0333,0.0,3
toolbench,rank,gemini-flash,G2_instruction,10,60,1.0333,1.3774,0.583333,0.497167,0.016667,1.0333,0.017222,3
toolbench,rank,gemini-flash,G2_instruction,20,60,1.0333,1.3774,0.583333,0.497167,0.016667,1.0333,0.017222,3
toolbench,rank,gemini-flash,G3_instruction,2,60,1.0167,1.3838,0.389722,0.445854,0.0,1.0167,0.0,3
toolbench,rank,gemini-flash,G3_instruction,4,60,1.2833,1.7764,0.488889,0.486993,0.016667,1.2833,0.021389,3
toolbench,rank,gemini-flash,G3_instruction,6,60,1.2833,1.7764,0.538889,0.496093,0.016667,1.2833,0.021389,3
toolbench,rank,gemini-flash,G3_instruction,8,60,1.2833,1.7764,0.55,0.501692,0.016667,1.2833,0.021389,3
toolbench,rank,gemini-flash,G3_instruction,10,60,1.2833,1.7764,0.55,0.501692,0.016667,1.2833,0.021389,3
toolbench,rank,gemini-flash,G3_instruction,20,60,1.2833,1.7764,0.541667,0.498231,0.016667,1.2833,0.021389,3
